csv,http://dbpedia.org/ontology/agent,http://dbpedia.org/ontology/airport,http://dbpedia.org/ontology/album,http://dbpedia.org/ontology/architecturalstructure,http://dbpedia.org/ontology/baseballplayer,http://dbpedia.org/ontology/city,http://dbpedia.org/ontology/colour,http://dbpedia.org/ontology/company,http://dbpedia.org/ontology/country,http://dbpedia.org/ontology/currency,http://dbpedia.org/ontology/device,http://dbpedia.org/ontology/informationappliance,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/location,http://dbpedia.org/ontology/musicgenre,http://dbpedia.org/ontology/officeholder,http://dbpedia.org/ontology/organisation,http://dbpedia.org/ontology/person,http://dbpedia.org/ontology/personfunction,http://dbpedia.org/ontology/politicalparty,http://dbpedia.org/ontology/populatedplace,http://dbpedia.org/ontology/royalty,http://dbpedia.org/ontology/settlement,http://dbpedia.org/ontology/soccerclub,http://dbpedia.org/ontology/software,http://dbpedia.org/ontology/venue,http://dbpedia.org/ontology/year,position,text
CTRL_WIKI_BUS_largest_private_and_semiprivate_employers,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"""Walmart"";""China National Petroleum"";""China Post Group"";""State Grid"";""Hon Hai Precision Industry (Foxconn)"";""Volkswagen"";""Amazon"";""Sinopec Group"";""Compass Group"";""United States Postal Service"""
CTRL_WIKI_BUS_largest_private_and_semiprivate_employers,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"""United States"";""China"";""China"";""China"";""Taiwan"";""Germany"";""United States"";""China"";""United Kingdom"";""United States"""
CTRL_WIKI_BUS_largest_private_and_semiprivate_employers_NOISE2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"""Walmart"";""China National Petroleum"";""China PPost Group"";""State Grid"";""Hon Hai Precision Industry (Foxconn))"";""Volkswagen"";""Amazon"";""Sinopec Groupp"";""Compass Group"";""United States Postal  Service"""
CTRL_WIKI_BUS_largest_private_and_semiprivate_employers_NOISE2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"""United States"";""China"";""China"";""China"";""Taiwan"";""Germany"";""United States"";""China"";""United Kingdom"";""United States"""
CTRL_WIKI_GEO_list_of_lakes_by_area,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"""Caspian Sea"";""Caspian Sea"";""Caspian Sea"";""Caspian Sea"";""Caspian Sea"";""Superior"";""Superior"";""Victoria"";""Victoria"";""Victoria"";""Huron"";""Huron"";""Michigan"";""Tanganyika"";""Tanganyika"";""Tanganyika"";""Tanganyika"";""Baikal"";""Great Bear Lake"";""Malawi"";""Malawi"";""Malawi"";""Great Slave Lake"";""Erie"";""Erie"";""Winnipeg"";""Ontario"";""Ontario"";""Ladoga"";""Balkhash"";""Vostok"";""Onega"";""Titicaca"";""Titicaca"";""Nicaragua"";""Athabasca"";""Taymyr"";""Turkana"";""Turkana"";""Reindeer Lake"";""Issyk-Kul"";""Urmia"";""Vänern"";""Winnipegosis"";""Albert"";""Albert"";""Mweru"";""Mweru"";""Nettilling"";""Nipigon"";""Manitoba"";""Great Salt Lake"";""Qinghai Lake"";""Saimaa"";""Lake of the Woods"";""Lake of the Woods"";""Khanka"";""Khanka"";""Sarygamysh"";""Sarygamysh"";""Dubawnt"";""Van"";""Peipus"";""Peipus"";""Uvs"";""Poyang"";""Tana"";""Amadjuak"";""Melville"";""Bangweulu"""
CTRL_WIKI_GEO_list_of_lakes_by_area,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"""Kazakhstan"";""Russia"";""Turkmenistan"";""Azerbaijan"";""Iran"";""Canada"";""United States"";""Uganda"";""Kenya"";""Tanzania"";""Canada"";""United States"";""United States"";""Burundi"";""Tanzania"";""Zambia"";""Democratic Republic of the Congo"";""Russia"";""Canada"";""Malawi"";""Mozambique"";""Tanzania"";""Canada"";""United States"";""Canada"";""Canada"";""Canada"";""United States"";""Russia"";""Kazakhstan"";""Antarctica"";""Russia"";""Bolivia"";""Peru"";""Nicaragua"";""Canada"";""Russia"";""Ethiopia"";""Kenya"";""Canada"";""Kyrgyzstan"";""Iran"";""Sweden"";""Canada"";""Uganda"";""Democratic Republic of the Congo"";""Zambia"";""Democratic Republic of the Congo"";""Canada"";""Canada"";""Canada"";""United States"";""China"";""Finland"";""Canada"";""United States"";""China"";""Russia"";""Uzbekistan"";""Turkmenistan"";""Canada"";""Turkey"";""Estonia"";""Russia"";""Mongolia"";""China"";""Ethiopia"";""Canada"";""Canada"";""Zambia"""
CTRL_WIKI_GEO_list_of_lakes_by_area_NOISE2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"""Caspian Seaa"";""Caspian Seaa"";""Caspian  Sea"";""Caspian Sea"";""Caspian Sea"";""Superior"";""Superior"";""Victoria"";""Victoria"";""VVictoria"";""Huronn"";""Huronn"";""Michigan"";""Tanganyika"";""Tanganyiika"";""TTanganyika"";""Tanganyikaa"";""Baikall"";""Great Bear Lakee"";""Malawi"";""Malawwi"";""Malawii"";""Great Slave Lakee"";""Erie"";""Eriie"";""Winnnipeg"";""Ontario"";""Ontarioo"";""Ladooga"";""Balkhash"";""Vostok"";""Onega"";""Titicaca"";""Tiiticaca"";""Nicaraguua"";""Athhabasca"";""Taymmyr"";""Turkana"";""Turkana"";""Reindeer Lake"";""Issyk-Kul"";""Urmia"";""Vänern"";""Winnipegosiss"";""Albert"";""Albertt"";""Mweruu"";""Mweruu"";""Nettillingg"";""Nipigon"";""Manitoba"";""Great Salt Lake"";""Qinghai Lake"";""Saimaaa"";""Lake of the Woods"";""Lake of the Woodss"";""Khanka"";""Khannka"";""Sarygamyshh"";""Sarygamysh"";""Dubawntt"";""Vann"";""Peipus"";""Peipuss"";""Uvss"";""Poyang"";""TTana"";""Amadjuakk"";""Melvillee"";""Bangweulu"""
CTRL_WIKI_GEO_list_of_lakes_by_area_NOISE2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"""Kazakhstan"";""Russia"";""Turkmenistan"";""Azerbaijan"";""Iran"";""Canada"";""United States"";""Uganda"";""Kenya"";""Tanzania"";""Canada"";""United States"";""United States"";""Burundi"";""Tanzania"";""Zambia"";""Democratic Republic of the Congo"";""Russia"";""Canada"";""Malawi"";""Mozambique"";""Tanzania"";""Canada"";""United States"";""Canada"";""Canada"";""Canada"";""United States"";""Russia"";""Kazakhstan"";""Antarctica"";""Russia"";""Bolivia"";""Peru"";""Nicaragua"";""Canada"";""Russia"";""Ethiopia"";""Kenya"";""Canada"";""Kyrgyzstan"";""Iran"";""Sweden"";""Canada"";""Uganda"";""Democratic Republic of the Congo"";""Zambia"";""Democratic Republic of the Congo"";""Canada"";""Canada"";""Canada"";""United States"";""China"";""Finland"";""Canada"";""United States"";""China"";""Russia"";""Uzbekistan"";""Turkmenistan"";""Canada"";""Turkey"";""Estonia"";""Russia"";""Mongolia"";""China"";""Ethiopia"";""Canada"";""Canada"";""Zambia"""
CTRL_WIKI_GEO_member_states_united_nations,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"""Australia"";""Belize"";""Benin"";""Bolivia"";""Brazil"";""Burundi"";""Cameroon"";""Canada"";""China"";""Côte d'Ivoire"";""Equatorial Guinea"";""India"";""Kazakhstan"";""Liechtenstein"";""Malta"";""Federated States of Micronesia"";""Morocco"";""Myanmar"";""New Zealand"";""Nigeria"";""Pakistan"";""Palau"";""Philippines"";""San Marino"";""South Africa"";""Sudan"";""Sri Lanka"";""Switzerland"";""Tanzania"";""Trinidad and Tobago"";""Turkey"";""United Arab Emirates"";""United States"";""Vietnam"""
CTRL_WIKI_GEO_member_states_united_nations,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"""Canberra"";""Belmopan"";""Porto-Novo"";""Sucre"";""Brasília"";""Gitega"";""Yaoundé"";""Ottawa"";""Beijing"";""Yamoussoukro"";""Malabo"";""New Delhi"";""Nur-Sultan"";""Vaduz"";""Valletta"";""Palikir"";""Rabat"";""Naypyidaw"";""Wellington"";""Abuja"";""Islamabad"";""Ngerulmud"";""Manila"";""San Marino"";""Pretoria"";""Khartoum"";""Sri Jayawardenepura Kotte"";""Bern"";""Dodoma"";""Port of Spain"";""Ankara"";""Abu Dhabi"";""Washington, D.C."";""Hanoi"""
CTRL_WIKI_GEO_member_states_united_nations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,"""Sydney"";""Belize City"";""Cotonou"";""Santa Cruz de la Sierra"";""São Paulo"";""Bujumbura"";""Douala"";""Toronto"";""Shanghai"";""Abidjan"";""Bata"";""Mumbai"";""Almaty"";""Schaan"";""Birkirkara"";""Weno"";""Casablanca"";""Yangon"";""Auckland"";""Lagos"";""Karachi"";""Koror"";""Quezon City"";""Serravalle"";""Johannesburg"";""Omdurman"";""Colombo"";""Zürich"";""Dar es Salaam"";""Chaguanas"";""Istanbul"";""Dubai"";""New York City"";""Ho Chi Minh City"""
CTRL_WIKI_GEO_member_states_united_nations_NOISE2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"""Australiaa"";""Belize"";""Benin"";""Bollivia"";""Braziil"";""Burundii"";""Cameroon"";""Canada"";""China"";""Côte d'Ivoire"";""Equatorial Guinea"";""Indiaa"";""Kazakhstan"";""Liechtensteinn"";""Malta"";""Federated States of Micronesiaa"";""Moroccoo"";""Myyanmar"";""New Zealandd"";""Nigeriia"";""Pakistann"";""PPalau"";""Philippiness"";""San Marino"";""South Africa"";""Sudaan"";""SSri Lanka"";""Switzerlandd"";""Tanzaniaa"";""Trinidad and Tobagoo"";""Turkey"";""United Arab Emirates"";""United States"";""Vietnamm"""
CTRL_WIKI_GEO_member_states_united_nations_NOISE2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"""Canberrraa"";""Belmopannn"";""Porto-Novooo"";""Sucreee"";""Brasíliaa"";""Gitegaa"";""Yaoundééé"";""Ottawaa"";""Beijingg"";""Yamoussoukroo"";""Malabooo"";""NNew Delhi"";""Nur-Sultann"";""Vaduuzz"";""Vallletta"";""Palikirr"";""Rabatt"";""NNaypyidaw"";""Wellingtonn"";""Abuujaa"";""Islamabadd"";""Ngerulmud"";""Manilaa"";""San Marinooo"";""Pretoriaa"";""Khartoummm"";""Sri Jayawardenepura Kottee"";""Bernnn"";""Dodomaaa"";""Port of Spainn"";""Ankaraa"";""Abu Dhhhabi"";""Washington, D.C.."";""Hanoii"""
CTRL_WIKI_GEO_member_states_united_nations_NOISE2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,"""Sydney"";""Belize City"";""Cotonou"";""Santa Cruz de la Sierra"";""São Paulo"";""Bujumbura"";""Douala"";""Toronto"";""Shanghai"";""Abidjan"";""Bata"";""Mumbai"";""Almaty"";""Schaan"";""Birkirkara"";""Weno"";""Casablanca"";""Yangon"";""Auckland"";""Lagos"";""Karachi"";""Koror"";""Quezon City"";""Serravalle"";""Johannesburg"";""Omdurman"";""Colombo"";""Zürich"";""Dar es Salaam"";""Chaguanas"";""Istanbul"";""Dubai"";""New York City"";""Ho Chi Minh City"""
CTRL_WIKI_MUS_best_selling_girl_groups_worldwide,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"""The Andrews Sisters"";""The Andrews Sisters"";""Spice Girls"";""TLC"";""TLC"";""TLC"";""TLC"";""Destiny's Child"";""Destiny's Child"";""AKB48"";""The Pussycat Dolls"";""The Pussycat Dolls"";""Little Mix"";""Bananarama"";""The Pointer Sisters"";""The Pointer Sisters"";""The Nolans"";""The Supremes"";""The Supremes"";""The Supremes"";""En Vogue"";""Speed"""
CTRL_WIKI_MUS_best_selling_girl_groups_worldwide,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"""United States"";""United States"";""United Kingdom"";""United States"";""United States"";""United States"";""United States"";""United States"";""United States"";""Japan"";""United States"";""United States"";""United Kingdom"";""United Kingdom"";""United States"";""United States"";""Ireland"";""United States"";""United States"";""United States"";""United States"";""Japan"""
CTRL_WIKI_MUS_best_selling_girl_groups_worldwide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,"""Traditional pop"";""swing music"";""Pop"";""Pop"";""Hip hop"";""R&B"";""Soul"";""Pop"";""R&B"";""J-pop"";""Pop"";""R&B"";""Pop"";""Pop"";""R&B"";""soul"";""Pop"";""R&B"";""pop"";""soul"";""R&B"";""J-pop"""
CTRL_WIKI_MUS_best_selling_girl_groups_worldwide_NOISE2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"""The Andrews Sisters"";""The Andrews Sisters"";""Spice Girls"";""TLC"";""TLC"";""TLC"";""TLC"";""Destiny's Child"";""Destiny's Child"";""AKB48"";""The Pussycat Dolls"";""The Pussycat Dolls"";""Little Mix"";""Bananarama"";""The Pointer Sisters"";""The Pointer Sisters"";""The Nolans"";""The Supremes"";""The Supremes"";""The Supremes"";""En Vogue"";""Speed"""
CTRL_WIKI_MUS_best_selling_girl_groups_worldwide_NOISE2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"""United States"";""United States"";""United Kingdom"";""United States"";""United States"";""United States"";""United States"";""United States"";""United States"";""Japan"";""United States"";""United States"";""United Kingdom"";""United Kingdom"";""United States"";""United States"";""Ireland"";""United States"";""United States"";""United States"";""United States"";""Japan"""
CTRL_WIKI_MUS_best_selling_music_artists_250_million_or_more_records,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"""The Beatles"";""The Beatles"";""Elvis Presley"";""Elvis Presley"";""Elvis Presley"";""Michael Jackson"";""Michael Jackson"";""Michael Jackson"";""Michael Jackson"";""Michael Jackson"";""Elton John"";""Elton John"";""Madonna"";""Madonna"";""Madonna"";""Led Zeppelin"";""Led Zeppelin"";""Led Zeppelin"";""Rihanna"";""Rihanna"";""Rihanna"";""Rihanna"";""Rihanna"";""Rihanna"";""Rihanna"";""Rihanna"";""Pink Floyd"";""Pink Floyd"""
CTRL_WIKI_MUS_best_selling_music_artists_250_million_or_more_records,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"""United Kingdom"";""United Kingdom"";""United States"";""United States"";""United States"";""United States"";""United States"";""United States"";""United States"";""United States"";""United Kingdom"";""United Kingdom"";""United States"";""United States"";""United States"";""United Kingdom"";""United Kingdom"";""United Kingdom"";""Barbados"";""Barbados"";""Barbados"";""Barbados"";""United States"";""United States"";""United States"";""United States"";""United Kingdom"";""United Kingdom"""
CTRL_WIKI_MUS_best_selling_music_artists_250_million_or_more_records,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,"""Rock"";""Pop"";""Rock and roll"";""Pop"";""Country"";""Pop"";""Rock"";""Dance"";""Soul"";""R&B"";""Pop"";""Rock"";""Pop"";""Dance"";""Electronica"";""Hard rock"";""Blues rock"";""Folk rock"";""R&B"";""Pop"";""Dance"";""Hip-hop"";""R&B"";""Pop"";""Dance"";""Hip-hop"";""Progressive rock"";""Psychedelic rock"""
CTRL_WIKI_MUS_best_selling_music_artists_250_million_or_more_records_NOISE2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"""The Beatles"";""The Beatles"";""Elvis Presley"";""Elvis Presleyy"";""Elvis Presleyy"";""Michael Jacksonn"";""Michael Jacksonn"";""Michael Jacksonn"";""Michael Jackson"";""Micchael Jackson"";""Elton Johnn"";""Elton John"";""Madonna"";""Madonna"";""Madonnaa"";""Led  Zeppelin"";""Led Zeppellin"";""Led Zeppelinn"";""Rihhanna"";""Rihannaa"";""Rihanna"";""Rihanna"";""Rihannaa"";""Rihannna"";""Rihaanna"";""Rihanna"";""Pink Floyd"";""Pink Floydd"""
CTRL_WIKI_MUS_best_selling_music_artists_250_million_or_more_records_NOISE2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"""United  Kingdomm"";""United Kingdomm"";""United States"";""Unitedd Statess"";""UUnited States"";""United Statess"";""United Statess"";""United States"";""Unnited Statess"";""United Statess"";""Unitedd Kingdomm"";""United Kingdomm"";""United Staates"";""United Statess"";""United Staates"";""United Kinnggdom"";""United Kingdom"";""Unitted Kingdom"";""Barbados"";""BBarbados"";""Baarbadoss"";""Barbaddos"";""United Statess"";""United States"";""United Statesss"";""United States"";""Uniteed Kingdomm"";""Unitedd Kingdomm"""
CTRL_WIKI_MUS_best_selling_music_artists_250_million_or_more_records_NOISE2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,"""Rock"";""Pop"";""Rock and roll"";""Pop"";""Country"";""Pop"";""Rock"";""Dance"";""Soul"";""R&B"";""Pop"";""Rock"";""Pop"";""Dance"";""Electronica"";""Hard rock"";""Blues rock"";""Folk rock"";""R&B"";""Pop"";""Dance"";""Hip-hop"";""R&B"";""Pop"";""Dance"";""Hip-hop"";""Progressive rock"";""Psychedelic rock"""
CTRL_WIKI_POL_List_of_current_monarchs_of_sovereign_states,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"""Principality of Andorra"";""Principality of Andorra"";""Antigua and Barbuda"";""Commonwealth of Australia"";""Commonwealth of the Bahamas"";""Barbados"";""Belize"";""Canada"";""Grenada"";""Jamaica"";""New Zealand"";""Independent State of Papua New Guinea"";""Federation of Saint Kitts and Nevis"";""Saint Lucia"";""Saint Vincent and the Grenadines"";""Solomon Islands"";""Tuvalu"";""United Kingdom of Great Britain and Northern Ireland"";""Kingdom of Bahrain"";""Kingdom of Belgium"";""Kingdom of Bhutan"";""Brunei Darussalam"";""Kingdom of Cambodia"";""Kingdom of Denmark"";""Kingdom of Eswatini"";""Japan"";""Hashemite Kingdom of Jordan"";""State of Kuwait"";""Kingdom of Lesotho"";""Principality of Liechtenstein"";""Grand Duchy of Luxembourg"";""Malaysia"";""Principality of Monaco"";""Kingdom of Morocco"";""Kingdom of the Netherlands"";""Kingdom of Norway"";""Sultanate of Oman"";""State of Qatar"";""Kingdom of Saudi Arabia"";""Kingdom of Spain"";""Kingdom of Sweden"";""Kingdom of Thailand"";""Kingdom of Tonga"";""United Arab Emirates"";""Vatican City State"""
