item,classes
"[['http://dbpedia.org/ontology/GovernmentAgency', 'http://dbpedia.org/ontology/MilitaryUnit', 'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/Agent']]","""[]"""
[[]],"""[]"""
[[]],"""[]"""
[[]],"""[]"""
[[]],"""[]"""
[[]],"""[]"""
[[]],"""[]"""
[[]],"""[]"""
[[]],"""[]"""
[[]],"""[]"""
[[]],"""[]"""
[[]],"""[]"""
"[['http://dbpedia.org/ontology/Company', 'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/Agent']]","""['http://dbpedia.org/ontology/GovernmentAgency', 'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/PersonFunction', 'http://dbpedia.org/ontology/Agent']"""
"[['http://dbpedia.org/ontology/Company', 'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/Agent']]","""['http://dbpedia.org/ontology/GovernmentAgency', 'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/PersonFunction', 'http://dbpedia.org/ontology/Agent']"""
"[['http://dbpedia.org/ontology/Company', 'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/Agent']]","""['http://dbpedia.org/ontology/GovernmentAgency', 'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/PersonFunction', 'http://dbpedia.org/ontology/Agent']"""
"[['http://dbpedia.org/ontology/Company', 'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/Agent']]","""['http://dbpedia.org/ontology/GovernmentAgency', 'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/PersonFunction', 'http://dbpedia.org/ontology/Agent']"""
"[['http://dbpedia.org/ontology/Company', 'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/Agent']]","""['http://dbpedia.org/ontology/GovernmentAgency', 'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/PersonFunction', 'http://dbpedia.org/ontology/Agent']"""
"[['http://dbpedia.org/ontology/Company', 'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/Agent']]","""['http://dbpedia.org/ontology/GovernmentAgency', 'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/PersonFunction', 'http://dbpedia.org/ontology/Agent']"""
"[['http://dbpedia.org/ontology/Company', 'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/Agent']]","""['http://dbpedia.org/ontology/GovernmentAgency', 'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/PersonFunction', 'http://dbpedia.org/ontology/Agent']"""
"[['http://dbpedia.org/ontology/Company', 'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/Agent']]","""['http://dbpedia.org/ontology/GovernmentAgency', 'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/PersonFunction', 'http://dbpedia.org/ontology/Agent']"""
"[['http://dbpedia.org/ontology/Company', 'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/Agent']]","""['http://dbpedia.org/ontology/GovernmentAgency', 'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/PersonFunction', 'http://dbpedia.org/ontology/Agent']"""
"[['http://dbpedia.org/ontology/Company', 'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/Agent']]","""['http://dbpedia.org/ontology/GovernmentAgency', 'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/PersonFunction', 'http://dbpedia.org/ontology/Agent']"""
"[['http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country']]","""['http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country']"""
"[['http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country']]","""['http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country']"""
"[['http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country']]","""['http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country']"""
"[['http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country']]","""['http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country']"""
"[['http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country']]","""['http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country']"""
"[['http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country']]","""['http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country']"""
"[['http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country']]","""['http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country']"""
"[['http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country']]","""['http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country']"""
"[['http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country']]","""['http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country']"""
"[['http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country']]","""['http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country']"""
"[['http://dbpedia.org/ontology/Company', 'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/Agent']]","""['http://dbpedia.org/ontology/GovernmentAgency', 'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/PersonFunction', 'http://dbpedia.org/ontology/Agent']"""
"[['http://dbpedia.org/ontology/Company', 'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/Agent']]","""['http://dbpedia.org/ontology/GovernmentAgency', 'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/PersonFunction', 'http://dbpedia.org/ontology/Agent']"""
"[['http://dbpedia.org/ontology/Company', 'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/Agent']]","""['http://dbpedia.org/ontology/GovernmentAgency', 'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/PersonFunction', 'http://dbpedia.org/ontology/Agent']"""
"[['http://dbpedia.org/ontology/Company', 'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/Agent']]","""['http://dbpedia.org/ontology/GovernmentAgency', 'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/PersonFunction', 'http://dbpedia.org/ontology/Agent']"""
"[['http://dbpedia.org/ontology/Company', 'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/Agent']]","""['http://dbpedia.org/ontology/GovernmentAgency', 'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/PersonFunction', 'http://dbpedia.org/ontology/Agent']"""
"[['http://dbpedia.org/ontology/Company', 'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/Agent']]","""['http://dbpedia.org/ontology/GovernmentAgency', 'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/PersonFunction', 'http://dbpedia.org/ontology/Agent']"""
"[['http://dbpedia.org/ontology/Company', 'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/Agent']]","""['http://dbpedia.org/ontology/GovernmentAgency', 'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/PersonFunction', 'http://dbpedia.org/ontology/Agent']"""
"[['http://dbpedia.org/ontology/Company', 'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/Agent']]","""['http://dbpedia.org/ontology/GovernmentAgency', 'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/PersonFunction', 'http://dbpedia.org/ontology/Agent']"""
"[['http://dbpedia.org/ontology/Company', 'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/Agent']]","""['http://dbpedia.org/ontology/GovernmentAgency', 'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/PersonFunction', 'http://dbpedia.org/ontology/Agent']"""
"[['http://dbpedia.org/ontology/Company', 'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/Agent']]","""['http://dbpedia.org/ontology/GovernmentAgency', 'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/PersonFunction', 'http://dbpedia.org/ontology/Agent']"""
"[['http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country']]","""['http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country']"""
"[['http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country']]","""['http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country']"""
"[['http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country']]","""['http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country']"""
"[['http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country']]","""['http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country']"""
"[['http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country']]","""['http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country']"""
"[['http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country']]","""['http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country']"""
"[['http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country']]","""['http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country']"""
"[['http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country']]","""['http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country']"""
"[['http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country']]","""['http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country']"""
"[['http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country']]","""['http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country']"""
"[['http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/MusicalArtist', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country']]","""['http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/MusicalArtist', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country']"""
"[['http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/MusicalArtist', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country']]","""['http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/MusicalArtist', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country']"""
"[['http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/MusicalArtist', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country']]","""['http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/MusicalArtist', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country']"""
"[['http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/MusicalArtist', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country']]","""['http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/MusicalArtist', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country']"""
"[['http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/MusicalArtist', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country']]","""['http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/MusicalArtist', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country']"""
"[['http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/MusicalArtist', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country']]","""['http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/MusicalArtist', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country']"""
"[['http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/MusicalArtist', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country']]","""['http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/MusicalArtist', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country']"""
"[['http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/MusicalArtist', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country']]","""['http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/MusicalArtist', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country']"""
"[['http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/MusicalArtist', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country']]","""['http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/MusicalArtist', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country']"""
"[['http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/MusicalArtist', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country']]","""['http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/MusicalArtist', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country']"""
"[['http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/MusicalArtist', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country']]","""['http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/MusicalArtist', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country']"""
"[['http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/MusicalArtist', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country']]","""['http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/MusicalArtist', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country']"""
"[['http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/MusicalArtist', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country']]","""['http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/MusicalArtist', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country']"""
"[['http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/MusicalArtist', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country']]","""['http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/MusicalArtist', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country']"""
"[['http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/MusicalArtist', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country']]","""['http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/MusicalArtist', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country']"""
"[['http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/MusicalArtist', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country']]","""['http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/MusicalArtist', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country']"""
"[['http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/MusicalArtist', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country']]","""['http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/MusicalArtist', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country']"""
"[['http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/MusicalArtist', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country']]","""['http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/MusicalArtist', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country']"""
"[['http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/MusicalArtist', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country']]","""['http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/MusicalArtist', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country']"""
"[['http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/MusicalArtist', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country']]","""['http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/MusicalArtist', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country']"""
"[['http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/MusicalArtist', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country']]","""['http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/MusicalArtist', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country']"""
"[['http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/MusicalArtist', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country']]","""['http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/MusicalArtist', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country']"""
"[['http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/MusicalArtist', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country']]","""['http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/MusicalArtist', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country']"""
"[['http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/MusicalArtist', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country']]","""['http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/MusicalArtist', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country']"""
